scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
saturated-loss,KCP-fast,4,2400,0,10,1,2400,2784,862.069,56,62,107,126464,213,1,86.597,1
saturated-loss,KCP-fast,5,2400,0,10,1,2400,2780,863.309,53,61,99,131456,218,2,87.297,1
240hz-clean,zcrudp,1,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,382.587,1
240hz-clean,zcrudp,2,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,338.603,1
240hz-clean,zcrudp,3,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,362.492,1
240hz-clean,zcrudp,4,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,336.622,1
240hz-clean,zcrudp,5,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,331.781,1
240hz-clean,ENet,1,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,496.428,1
240hz-clean,ENet,2,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,511.376,1
240hz-clean,ENet,3,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,521.224,1
240hz-clean,ENet,4,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,438.830,1
240hz-clean,ENet,5,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,450.355,1
240hz-clean,KCP-default,1,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,172.046,1
240hz-clean,KCP-default,2,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,166.075,1
240hz-clean,KCP-default,3,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,186.394,1
240hz-clean,KCP-default,4,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,172.455,1
240hz-clean,KCP-default,5,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,190.175,1
240hz-clean,KCP-fast,1,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,146.558,1
240hz-clean,KCP-fast,2,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,194.665,1
240hz-clean,KCP-fast,3,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,150.527,1
240hz-clean,KCP-fast,4,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,156.553,1
240hz-clean,KCP-fast,5,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,153.795,1
240hz-loss1,zcrudp,1,2400,240,10,1,2400,10009,239.784,13,31,47,40124,4873,53,435.695,1
240hz-loss1,zcrudp,2,2400,240,10,1,2400,10006,239.856,13,25,44,39652,4829,42,365.836,1
240hz-loss1,zcrudp,3,2400,240,10,1,2400,10007,239.832,13,27,46,39952,4882,51,361.075,1
240hz-loss1,zcrudp,4,2400,240,10,1,2400,10008,239.808,13,31,46,40280,4888,56,370.043,1
240hz-loss1,zcrudp,5,2400,240,10,1,2400,10006,239.856,13,32,46,40632,4944,55,391.537,1
